type,rent,space,bed,bath,region,mrt,bus,school,work,security,fridge,aircon,washer,dryer,pantry,carpark,mall,fitness,gardenview,riverview,oceanview,address
Condominium,5500,1582,3,2,Central Region,3,10,12,1,0,1,1,1,1,1,0,3,0,1,0,0,Taman Warna
Condominium,16500,4800,5,4,Central Region,2,10,6,5,0,1,1,1,1,1,0,3,0,1,0,0,Kay Siang Road
Condominium,13000,1539,5,3,Central Region,2,10,6,8,0,1,1,1,1,0,1,7,0,1,0,0,Goodwood Hill
Condominium,18000,6827,3,3,Central Region,6,2,8,3,0,1,1,1,1,1,1,7,0,1,0,0,Jervois Road
Condominium,12000,5686,4,4,Central Region,4,1,2,1,0,1,1,0,0,1,1,5,0,1,0,0,Malcolm Road
Executive Condominium,6500,1539,3,2,Central Region,6,2,4,17,1,1,1,1,1,1,1,3,1,1,1,0,The crest
Executive Condominium,4800,1356,3,3,Central Region,1,1,8,12,1,1,1,1,1,1,1,6,1,1,1,0,Citylights
Apartment,2400,1220,3,2,North-East Region,1,1,5,4,0,0,1,0,0,1,0,2,0,1,1,0,Rivervale Street
Condominium,4200,1885,3,2,North-East Region,15,1,17,17,0,1,1,1,1,0,0,18,0,1,0,0,Mornington crescent
Apartment,2998,2056,4,3,North Region,15,1,7,1,1,0,1,0,0,1,0,13,1,1,0,0,Euphony Gardens
Apartment,5500,3000,4,5,West Region,11,1,5,7,1,0,1,0,0,0,0,12,0,1,0,0,Pavilion Park
Executive Condominium,3800,1292,3,2,West Region,10,10,9,14,1,1,1,1,1,1,1,15,1,1,0,0,Eco Sanctuary
Condominium,4500,700,1,1,Central Region,1,10,14,3,1,1,1,0,0,0,0,2,0,1,0,0,Marina one residences
Executive Condominium,3000,1076,3,1,Central Region,6,2,7,8,0,1,1,1,1,1,1,4,1,1,1,0,Cherry Gardens
Executive Condominium,3900,1281,3,2,Central Region,2,1,12,3,1,1,1,1,1,1,1,8,1,0,0,1,Water place
Executive Condominium,9500,3154,5,5,Central Region,14,10,7,1,0,1,1,1,1,1,1,15,1,1,0,0,Greenwood Mews
Apartment,1200,1131,1,1,East Region,10,1,3,5,0,0,1,0,0,0,0,18,0,0,0,0,Astor
Executive Condominium,6500,3122,4,4,North-East Region,18,3,17,16,0,1,1,1,1,1,1,15,0,1,0,0,Alana
Executive Condominium,4600,861,2,2,Central Region,1,1,15,10,0,1,1,1,1,1,1,1,1,0,0,1,The Sail
Executive Condominium,5000,1744,3,3,Central Region,2,1,6,2,1,1,1,1,1,1,1,3,1,1,0,0,The Beaumont
Condominium,3500,1573,4,3,West Region,3,1,5,15,1,0,1,0,0,0,0,3,0,1,0,0,The Warren
Apartment,2300,69,2,1,Central Region,3,1,5,8,0,0,1,0,0,0,0,5,0,1,0,0,Blk 157 Mei ling strret
Condominium,4000,3237,2,2,East Region,20,1,10,9,0,0,1,0,0,0,0,8,0,1,0,0,Liria Terrace
Executive Condominium,4500,786,1,1,Central Region,3,1,5,11,1,1,1,1,1,1,1,2,1,1,1,0,Icon
Condominium,4000,1238,3,3,East Region,8,1,3,5,1,1,1,1,1,0,0,6,0,1,0,0,Poshgrove East
Apartment,2300,143,4,2,North Region,13,1,3,8,0,0,1,0,0,0,0,3,0,0,1,0,Blk 458 Choa Chu Kang Avenue
Apartment,1900,495,1,1,East Region,7,10,6,2,1,0,1,0,0,0,0,6,0,0,0,0,The Palette
Apartment,2500,148,3,3,Central Region,13,1,4,10,0,0,1,0,0,0,0,13,0,1,0,0,Blk 405 Bukit Batok West Avenue 7
Condominium,2800,484,1,1,East Region,3,2,11,5,1,1,1,1,1,0,0,4,1,0,1,0,The Glades
Apartment,1300,111,3,2,Central Region,3,2,2,3,0,0,1,0,0,0,0,3,0,0,0,0,Blk 125 Kim Tian Road
Condominium,2300,797,2,1,East Region,7,2,4,3,1,1,1,1,1,0,0,6,1,0,1,0,NV Residences
Apartment,1000,300,3,2,Central Region,6,1,6,9,0,0,1,0,0,0,0,1,0,0,0,0,Pebble Lane
Condominium,3500,732,3,2,Central Region,3,2,8,20,1,1,1,1,1,0,0,4,0,1,0,0,The MKZ
Condominium,2500,1097,3,3,West Region,7,1,10,8,0,1,1,1,1,0,0,5,1,1,0,0,Hillbrooks
Apartment,3000,926,2,2,Central Region,7,1,6,13,1,1,1,0,0,0,0,8,1,0,1,0,RV Edge
Apartment,2300,114,3,1,North-East Region,2,2,2,5,0,1,1,0,0,0,0,6,0,1,0,0,Blk 298C Compassvale Street
Apartment,2200,581,1,1,North-East Region,1,2,3,1,1,1,1,1,1,0,0,1,1,1,0,0,Watertown
Condominium,3200,538,2,1,Central Region,3,1,2,7,1,1,1,1,1,0,0,8,1,0,1,1,Robin Residences
Executive Condominium,3000,1119,3,2,East Region,5,1,8,5,1,1,1,1,1,0,1,7,1,1,0,0,The Champagne
Condominium,2380,947,2,2,North-East Region,7,1,2,6,1,1,1,1,1,0,1,15,1,1,1,0,Castle Green
Apartment,2459,135,3,2,East Region,8,1,2,4,1,0,1,0,0,0,0,8,0,0,1,0,Tampines Avenue 9
Condominium,2500,1217,3,3,North Region,6,1,4,9,0,1,1,1,1,0,0,7,1,0,1,0,Yishun Emerald
Condominium,2200,528,1,1,East Region,2,2,3,19,1,1,1,1,1,0,0,5,1,0,0,0,Urban Vista
Apartment,2400,538,2,2,East Region,1,1,5,1,1,1,1,0,0,0,0,15,1,0,0,0,Kembangan Suites
Apartment,2550,110,3,2,Central Region,1,1,6,9,1,1,1,1,1,0,0,1,1,0,0,0,Bukit Batok Central
Apartment,1900,110,3,2,North Region,3,1,2,5,0,0,1,0,0,0,0,2,0,1,0,0,Woodlands Drive 16
Apartment,2800,1195,3,3,North Region,1,1,3,19,1,1,1,1,1,0,0,1,0,0,0,0,Yew Tee Residences
Apartment,1800,82,2,2,North Region,5,1,5,3,0,1,1,0,0,0,0,5,0,0,1,0,Blk 735 Yishun Street 72
Condominium,3000,1399,3,1,Central Region,8,1,6,20,1,1,1,1,1,0,0,7,0,1,0,0,Signature Park
Apartment,2300,121,3,2,West Region,17,1,9,3,0,1,1,1,1,0,0,13,0,1,0,1,Teban Gardens Road
Apartment,2100,72,2,2,Central Region,4,1,2,4,0,0,1,0,0,0,0,5,1,0,0,0,Everton Park
Apartment,1700,60,2,2,North-East Region,6,1,4,2,0,0,1,0,0,0,0,10,0,1,0,0,Ang Mo Kio Avenue 5
Apartment,2000,105,3,2,North-East Region,7,1,6,11,0,1,1,0,0,0,0,5,0,0,0,0,Hougang Avenue 8
Apartment,1700,91,3,3,West Region,2,1,6,5,0,0,1,0,0,0,0,3,0,0,0,0,Teck Whye Lane
Condominium,2700,1204,3,1,West Region,1,1,4,17,1,1,1,1,1,0,1,4,1,1,0,0,Palm Gardens
Condominium,2850,1670,3,2,West Region,6,1,3,18,0,1,1,0,0,0,1,3,0,0,1,0,Ivory Heights
Condominium,1799,250,1,1,Central Region,4,1,3,2,1,1,1,1,1,0,0,7,1,1,0,0,Sims Urban Oasis
Condominium,2300,732,2,1,North-East Region,11,1,2,12,1,1,1,1,1,0,0,9,1,0,1,0,Boathouse Residences
Apartment,1900,67,2,2,North-East Region,14,2,5,13,0,1,1,1,1,0,0,11,0,0,0,0,Ang Mo Kio Avenue 10
Apartment,1850,73,2,1,North-East Region,3,1,5,5,0,0,1,0,0,0,0,4,0,0,0,0,Blk 3 Lorong Lew Lian
Condominium,2900,93,3,2,Central Region,5,1,4,5,0,1,1,1,1,0,0,5,0,0,0,0,Blk 126A Kim Tian Road
Condominium,3000,100,3,3,Central Region,14,1,6,13,0,1,1,1,1,0,0,2,0,1,0,0,Blk 104B Depot Road
Apartment,2250,103,3,1,North-East Region,6,2,3,7,0,1,1,1,1,0,0,5,0,0,0,0,Bright Hill Drive
Condominium,2600,1313,3,1,North Region,7,1,3,3,1,1,1,1,1,0,1,5,1,0,0,0,Woodsvale
Condominium,2400,463,1,1,North-East Region,11,1,4,8,1,1,1,1,1,0,0,7,1,0,1,0,Trilive
Condominium,3500,1001,2,2,Central Region,6,1,9,17,1,1,1,1,0,1,1,11,1,1,1,0,The Levelz
Condominium,1900,431,1,1,Central Region,5,1,3,11,1,1,1,1,1,0,0,12,1,0,0,0,The Panorama
Condominium,2200,700,1,1,Central Region,12,6,7,1,0,1,1,1,1,0,1,12,0,0,1,0,Hillcrest Acradia
Condominium,2500,572,2,1,East Region,4,2,3,8,1,1,1,0,0,0,0,4,0,0,0,1,The Glades
Condominium,2100,732,2,2,West Region,12,2,6,20,1,1,1,1,1,0,0,14,1,0,1,0,Foresque Residences
Apartment,2350,86,3,2,Central Region,6,2,2,3,0,1,1,1,1,0,0,4,0,1,0,0,Blk 339 Ubi Avenue 1
Apartment,2400,104,3,2,West Region,6,1,3,2,1,1,1,1,1,0,0,3,0,1,0,0,Jurong West Central
Condominium,3200,958,2,1,Central Region,8,3,8,6,1,1,1,1,1,0,1,6,1,0,1,0,Adam Park
Apartment,1800,104,2,2,North Region,8,1,2,7,0,0,1,0,0,0,0,4,0,1,0,0,Blk 518 Woodlands Drive 14
Condominium,3500,1195,3,3,North Region,9,2,8,19,1,1,1,1,1,0,1,7,0,0,0,1,The Estuary
Condominium,2200,861,2,2,North Region,7,1,3,1,1,1,1,1,1,0,0,7,1,1,0,0,Eight Courtyards
Apartment,3200,1517,4,3,North Region,3,1,5,6,1,1,1,1,1,0,1,3,1,1,0,0,Northvale
Apartment,2000,104,3,2,North Region,12,1,2,2,0,1,1,1,1,0,0,8,0,0,1,0,Yishun Ring Road
Condominium,2950,1592,4,3,West Region,6,1,2,4,1,1,1,1,1,0,1,5,1,0,1,0,Yew Mei Green
Condominium,800,893,1,2,North Region,17,1,2,1,0,0,1,0,0,0,0,5,0,0,0,0,The Criterion
Apartment,750,71,2,1,North-East Region,10,1,4,17,0,1,1,0,0,0,0,8,0,0,0,0,Blk 2 Hougang Avenue 3
Apartment,700,14,1,1,West Region,1,1,4,6,0,0,1,0,0,0,0,4,0,0,0,0,Blk 149 Petir Road
Apartment,650,139,4,2,West Region,7,1,6,2,0,0,1,1,1,0,0,6,0,1,0,0,Blk 333 Kang Ching Road
Apartment,650,110,3,2,North-East Region,1,1,4,12,0,1,1,0,0,0,0,7,0,0,0,0,Blk 260B Punggol Way
Apartment,650,10,1,1,East Region,13,1,1,10,0,1,1,1,1,0,0,0,0,0,0,0,Blk 726 Tampines Street
Apartment,680,110,3,1,West Region,4,1,5,5,0,1,1,1,1,0,0,7,0,0,1,0,Jurong West Street
Condominium,850,169,3,1,West Region,9,1,2,19,0,1,1,1,1,0,0,3,1,1,0,0,Summerdale
Apartment,700,104,1,1,West Region,3,1,7,16,0,1,1,1,1,0,0,2,0,0,0,0,Blk 104 Bukit Batok Central
Condominium,650,8,1,1,Central Region,5,1,8,2,0,0,1,0,0,0,0,2,0,0,0,1,Blk 2 Beach Road
Apartment,700,14,1,1,Central Region,2,1,3,9,0,1,1,0,0,0,0,3,0,0,0,0,Toa Payoh Central
Apartment,600,200,1,1,North Region,13,1,7,11,0,0,1,0,0,0,0,2,0,0,0,0,Sembawang Hills Estate
Apartment,700,91,1,1,North-East Region,7,1,7,3,0,1,1,1,1,0,0,7,0,0,0,0,Blk 603 Ang Mo Kio Avenue 5
Apartment,800,121,1,1,East Region,5,2,2,1,0,1,1,1,1,0,0,8,0,0,0,0,Blk 146 Bedok Reservoir Road
Apartment,950,110,1,1,Central Region,8,2,7,5,0,1,1,0,0,0,0,5,0,1,1,0,Blk 31 Ghim Moh Link
Apartment,1000,120,1,1,Central Region,18,2,1,18,0,1,1,1,1,0,0,6,1,1,0,0,Parkview Apartments
Apartment,800,25,1,1,Central Region,15,1,4,4,0,0,1,0,0,0,0,6,0,0,0,0,Lorong 8 Toa Payoh
Apartment,950,90,1,1,Central Region,7,2,1,2,0,1,1,1,1,0,0,7,0,0,0,0,Cantonment Close
Apartment,850,150,1,1,Central Region,4,1,11,6,0,0,1,0,0,0,0,1,0,0,0,0,Holland Avenue
Condominium,900,100,1,1,North-East Region,7,1,3,10,0,1,1,0,0,0,0,3,1,1,0,0,The Topiary
Apartment,850,90,3,3,West Region,11,1,7,4,0,1,1,0,0,0,0,9,0,0,1,0,Blk 106 Clementi Street 12
